Company Name,Website,City / Location,Segment,What They Make,Revenue Band,Decision Maker Name,DM Title,DM Background,C1 Manufacturer (Score),C1 Evidence,C2 India-based (Score),C2 Evidence,C3 Differentiated (Score),C3 Evidence,C4 Technical DM (Score),C4 Evidence,C5 Tailwind (Score),C5 Evidence,C6 Growth Signals (Score),C6 Evidence,Overall Verdict,Verdict Reasoning,Personalization Hook,Key Evidence Sources
Vishnupriya Chemicals Pvt Ltd,vishnupriya.in,"Hyderabad, Telangana","Performance Chemicals – Specialty & Inorganic Chemicals","Inorganic specialty chemicals, water treatment chemicals, catalyst chemicals, specialty surfactants; ISO-certified manufacturer",Unknown,Management team,Directors,Engineering and chemistry background based on product profile,Moderate,"ISO-certified manufacturer; manufacturing in Hyderabad; in-house specialty chemical production",Strong,"Based in Hyderabad, Telangana",Moderate,"Specialty inorganic chemicals and water treatment chemicals — niche but less technically differentiated than organometallics or biologics",Moderate,"Limited specific founder/DM information available publicly. Management appears technical based on product range",Moderate,"Water treatment and specialty chemicals are growing segments; environmental regulations driving demand; industrial sector growth",Moderate,"Established company; ISO-certified; website active; specific growth signals not confirmed from public research",Borderline,"ISO-certified specialty chemicals manufacturer. Limited public information on founder profile and growth signals. Included as borderline.","Vishnupriya Chemicals is ISO-certified and serves the water treatment and catalyst specialty chemicals market — segments growing rapidly with India's industrial capacity expansion","vishnupriya.in"
Srini Chem,srinichem.com,"Isnapur/Patancheru, Hyderabad","Custom Synthesis & Specialty Chemicals – Oncology Intermediates","Fine chemicals and specialty chemicals for oncology drug intermediates, anti-cancer drug APIs; CDMO services from lab to pilot scale",Unknown (early-stage),Karike Srinivas,Founder,"First-generation entrepreneur with 10+ years pharma R&D experience at Aurigene Discovery Technologies and Sail Life Sciences; founded 2015",Strong,"Manufacturing at Isnapur/Patancheru, Hyderabad; lab to pilot scale synthesis; CDMO for small molecule NCE programs",Strong,"Hyderabad, Telangana",Strong,"Specializes in oncology drug intermediates — one of the most technically demanding segments in chemistry; serves research-stage CROs and pharma for NCE programs",Strong,"Karike Srinivas is a first-generation entrepreneur with pharma R&D background at Aurigene (AstraZeneca subsidiary) — technical credibility verified",Strong,"Global oncology drug development pipeline is one of the most active segments; India CDMO for complex chemistry growing rapidly; China+1 in specialized synthesis",Moderate,"Founded 2015; revenue data limited in public domain but serving oncology NCE programs suggests active commercial relationships. Website active.",Borderline,"First-generation entrepreneur with pharma R&D background building an oncology-focused specialty CDMO. Revenue unconfirmed but technical profile is strong.","Karike Srinivas built Srini Chem after working at Aurigene Discovery Technologies (AstraZeneca's R&D arm) — he is applying drug discovery lab expertise directly to commercial oncology intermediate manufacturing","srinichem.com; indiamart.com"
Neo Fine Chemical Industries,neofinechem.com,"Hyderabad, Telangana","Performance Chemicals – Phosphorus Chemistry & Polymers","Phosphorus derivatives, polymerization catalysts, specialty polymers; established 1984 — 40 years of operations",Unknown,Management team,Directors,Chemical engineering background; 40+ year operation signals deep technical knowledge,Strong,"Manufacturing in Hyderabad; 40-year operation; specialty phosphorus chemistry and polymer catalysts — capital-intensive, technically demanding",Strong,"Hyderabad, Telangana",Moderate,"Phosphorus derivatives and polymerization catalysts — specialty inorganic/organometallic chemistry; 40-year operational history signals differentiation",Moderate,"40+ year track record implies deep domain expertise, but specific founder credentials not confirmed from public sources",Moderate,"Specialty chemicals for polymers and coatings growing; EV and electronics sectors driving polymerization catalyst demand",Moderate,"40-year track record indicates operational stability; website active; specific recent growth signals not confirmed",Borderline,"40-year specialist in phosphorus chemistry and polymerization catalysts — a niche that's becoming more important with polymer and EV sector growth. Limited public data.","Neo Fine Chemical Industries has specialized in phosphorus derivatives and polymerization catalysts since 1984 — 40 years of focus on a chemistry niche that most Indian manufacturers still import from overseas","neofinechem.com"
Lextro Bio Solutions Pvt Ltd,lextrobio.com,"Genome Valley, Hyderabad","Specialty Biotech – Recombinant Proteins","Recombinant protein expression (bacterial and mammalian systems), upstream and downstream process development; research-grade and clinical-grade protein production",Unknown,Not publicly confirmed,Director,Biotech domain background based on service profile,Strong,"Located in Genome Valley, Hyderabad; dedicated recombinant protein CDMO with mammalian expression capability",Strong,"Genome Valley, Hyderabad, Telangana",Strong,"Mammalian expression system for recombinant proteins — high-barrier capability; serves research and clinical-grade requirements; Genome Valley location signals serious infrastructure",Moderate,"Leadership not confirmed from public sources; included based on technical service profile and Genome Valley location",Strong,"India biologics CDMO market growing; global demand for recombinant proteins for therapeutics and diagnostics; Genome Valley ecosystem provides infrastructure advantage",Moderate,"Service profile active on website; Genome Valley location suggests operational status; specific revenue and growth signals limited",Borderline,"Rare recombinant protein CDMO capability in Genome Valley. Leadership not fully verified from public sources — included cautiously as borderline.","Lextro Bio Solutions operates one of Genome Valley's few standalone recombinant protein CDMOs with mammalian expression capability — a rarity in India outside of large pharma companies","lextrobio.com; Genome Valley directories"
Yapan Bio Pvt Ltd,yapanbio.com,"Genome Valley, Hyderabad","Specialty Biotech – Biologics CDMO","Recombinant vaccine development and manufacturing, viral vector vaccines, gene therapy vectors, monoclonal antibody process development; BSL-2+ containment facilities",Rs.30-100Cr,Atin Tomar & Nirav Desai,Co-Founders,"45+ combined years in global biologics industry; vaccine and bio-therapeutics manufacturing expertise; founded 2019",Strong,"Genome Valley CDMO facility with BSL-2+ containment; $8M expansion in 2022 for RNA, DNA, gene therapy labs; specialized biologics manufacturing infrastructure",Strong,"Genome Valley, Hyderabad, Telangana",Strong,"BSL-2+ containment for viral vectors; gene therapy and RNA/DNA production — frontier biologics capabilities in India; Piramal strategic partner validates technical credibility",Strong,"Both co-founders have 45+ combined years in global biologics industry; deep technical expertise in complex biologics manufacturing",Strong,"mRNA vaccines, gene therapies, viral vectors are the fastest-growing biologics segments globally; India positioning as biologics manufacturing hub; Piramal partnership validates demand",Moderate,"Revenue Rs.55.8Cr (FY25) — growing rapidly from Rs.12.4Cr (FY21); Piramal holds 27.78% strategic minority stake (not PE-majority); $8M expansion completed; pipeline building",Borderline,"Strong technical co-founders building a genuinely rare biologics CDMO. Revenue is growing fast. Piramal minority stake is strategic not PE-control — founders retain majority.","Yapan Bio built an $8 million RNA/DNA/gene therapy production facility at Genome Valley in 2022 — one of only a handful of Indian CDMOs capable of viral vector and mRNA manufacturing at this scale","yapanbio.com; prnewswire.com; piramal.com; tracxn.com"
Sai Fine Chemicals (SAI Group),saifinechem.com,"Hyderabad / Medak area","Custom Synthesis & Specialty Chemicals – Fine Chemicals","Fine chemicals and organic intermediates for pharmaceutical R&D and commercial synthesis; building blocks and advanced intermediates for global pharma and biotech customers",Unknown,SAI Group founders,Managing Directors,Multi-decade pharma chemicals background,Moderate,"Manufacturing in Hyderabad; established pharma fine chemicals operation; lab to commercial capacity",Strong,"India-based, manufacturing in Telangana",Moderate,"Fine chemicals for pharma — standard but established segment; less technical differentiation vs. organometallics or chiral chemistry",Moderate,"Management with chemistry background but specific founder credentials not fully confirmed in public sources",Strong,"Fine chemicals for pharma is growing; India gaining market share from China in pharma intermediates",Moderate,"Long-established company; website active; consistent pharma sector presence",Borderline,"Established fine chemicals supplier with pharma customer base. Lower technical differentiation than top companies. Borderline Federer.","Sai Fine Chemicals supplies building blocks and intermediates to global pharma R&D labs — a market that has grown significantly as companies diversify supply chains away from China under China+1 strategies","saifinechem.com"
Sawin Biomedicals Pvt Ltd (DISQUALIFIED — for transparency),sawinbio.com,"Medical Devices Park, Sultanpur, Hyderabad","Specialty Diagnostics","Biochemistry analyzers, hematology analyzers, clinical chemistry reagents",DISQUALIFIED,Kiran Kumar Kolli,Founder & MD,Engineering background,"DISQUALIFY — Founded Jan 2023","Only 2-3 years old; no meaningful revenue track record; auto-disqualified",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"Founded January 2023 — less than 2 years operational. No revenue track record. Auto-disqualified.","N/A","sawinbio.com"
Pariksha Biotech Pvt Ltd (DISQUALIFIED),parikshabio.com,"Hyderabad, Telangana","Specialty Diagnostics – IVD","Clinical chemistry reagents, rapid tests, ELISA kits (brand: High-Q)",DISQUALIFIED – Rs.9.5Cr,Raghavendra Sunku,Director,Not confirmed as technical/PhD background,"DISQUALIFY — Revenue only Rs.9.5Cr (FY23)","Revenue below Rs.30Cr threshold",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"Revenue Rs.9.5Cr — too small to meet Federer revenue criteria. Auto-disqualified.","N/A","parikshabio.com; tracxn.com"
Suven Pharmaceuticals Ltd (DISQUALIFIED),suvenpharm.com,Hyderabad,"Custom Synthesis – CDMO","Complex intermediates and APIs for innovator pharma (NCEs)",DISQUALIFIED – PE-controlled,Venkateswarlu Jasti (founder diluted),"Founder (historical — no longer controlling)","Founded by engineer-entrepreneur; PE now controls","DISQUALIFY — PE-controlled: Advent International 50.1% majority (Dec 2022)","Auto-disqualified: majority institutional ownership, not promoter-driven",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"Advent International acquired 50.1% majority stake in December 2022 — auto-disqualified as PE-controlled, not promoter-driven","N/A","livemint.com; crisil.com; suvenpharm.com"
Novopor Advanced Science Pvt Ltd (DISQUALIFIED),novopor.com,Hyderabad (innovation centre; plants in Gujarat & AP),"Performance Chemicals","Polymer additives, surfactants, electronic chemicals, CASE chemicals, agrochemical intermediates",DISQUALIFIED – PE-controlled,Radhesh Welling,MD (PE-appointed),"Not original technical founder","DISQUALIFY — Bain Capital PE acquisition June 2023","Majority PE ownership — auto-disqualified",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"Bain Capital acquired majority stake June 2023 — auto-disqualified as PE-controlled","N/A","novopor.com; livemint.com"
Lazuline Biotech Pvt Ltd (DISQUALIFIED),lazulinebio.com,"TSIIC Biotech Park, Karakapatla, Hyderabad","Specialty Biotech","rHSA (Recombinant Human Serum Albumin); biosimilar proteins; industrial enzymes",DISQUALIFIED – Financial distress,Kumar Venkata Naga Prasad Kandimalla,MD,Technical biotech background,DISQUALIFY,"NCLT proceedings; bank auction notices; Revenue Rs.10.4Cr (FY23); CRISIL 'Issuer Not Cooperating'",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"NCLT legal proceedings and creditor issues detected. Revenue too small. Auto-disqualified — financial distress is a clear red flag","N/A","crisilratings.com; nclt.gov.in; tracxn.com; canarabank.bank.in"
Clonz Biotech Pvt Ltd (DISQUALIFIED),clonzbio.com,"Genome Valley, Hyderabad","Specialty Biotech","Biosimilar monoclonal antibodies development and contract manufacturing",DISQUALIFIED – Pre-commercial,Narasimha Rao Nedunuri,MD & CEO,Technical biotech background,DISQUALIFY,"Revenue only Rs.24.4 lakh (FY25) — far below Federer threshold; company is pre-commercial",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"Revenue under Rs.1Cr — pre-commercial stage. Auto-disqualified","N/A","clonzbio.com; tofler.in; tracxn.com"
VGS Synthesis Pvt Ltd (DISQUALIFIED),vgssynthesis.com,"ALEAP Industrial Estate, Hyderabad","Custom Synthesis – Fine Chemicals","Fine chemicals and specialty intermediates for pharma",DISQUALIFIED – Rs.11.2Cr,Gopalachowdary Veera Venkata Uppuluri,Founder & Director,Chemistry background,DISQUALIFY,"Revenue Rs.11.2Cr (FY25) — below Rs.30Cr threshold",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"Revenue too small. Auto-disqualified","N/A","vgssynthesis.com; tracxn.com"
Sris Synthesis Pvt Ltd (DISQUALIFIED),srissynthesis.com,"Gajularamaram, Hyderabad","Custom Synthesis – Fine Chemicals","Fine chemicals and specialty intermediates; organic synthesis",DISQUALIFIED – Rs.14.2Cr,Bezagam Rama Chari,MD,Chemistry background,DISQUALIFY,"Revenue Rs.14.2Cr (FY25) — below threshold",DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFY,,DISQUALIFIED,"Revenue too small. Auto-disqualified","N/A","srissynthesis.com; tracxn.com"
Huwel Lifesciences Pvt Ltd (see Row 9 — duplicate removed),,,,,,,,,,,,,,,,,,,,,,,,,,,
